
*****  DB2MOVE  *****

Action:  EXPORT

Start time:  Tue Jan 19 02:24:01 2016


All schema names matching:  DMCODE; 

Connecting to database DWPBCNN ... successful!  Server : DB2 Common Server V9.7.A

EXPORT:      6 rows from table "DMCODE  "."T_COMMERCE_FIN_BALANCE_TYPE"
EXPORT:      8 rows from table "DMCODE  "."T_COMMERCE_FIN_DEADLINE_TYPE"
EXPORT:     11 rows from table "DMCODE  "."T_COMMERCE_FIN_DUE_TYPE"
EXPORT:      3 rows from table "DMCODE  "."T_COMMERCE_FIN_OTHER_TYPE"
EXPORT:      3 rows from table "DMCODE  "."T_COMMERCE_FIN_PRODUCT_TYPE"
EXPORT:      2 rows from table "DMCODE  "."T_COMMERCE_FIN_TYPE"
EXPORT:     12 rows from table "DMCODE  "."T_COMMERCE_FIN_USAGE_TYPE"
EXPORT:      2 rows from table "DMCODE  "."T_COMMERCE_PRODUCT_TYPE"
EXPORT:      7 rows from table "DMCODE  "."T_COMMERCIAL_BILL_TYPE"
EXPORT:      4 rows from table "DMCODE  "."T_COM_BANK_FINI_PROD_NATURE"
EXPORT:      2 rows from table "DMCODE  "."T_CON_DEP_PERIOD_TYPE"
EXPORT:     12 rows from table "DMCODE  "."T_COUNTRY_INFO"
EXPORT:     13 rows from table "DMCODE  "."T_COUN_CITI_TYPE"
EXPORT:     30 rows from table "DMCODE  "."T_CREDIT_CLASSIFICATION"
EXPORT:      3 rows from table "DMCODE  "."T_CREDIT_KPI"
EXPORT:      7 rows from table "DMCODE  "."T_CREDIT_KPI_ORDER"
EXPORT:      6 rows from table "DMCODE  "."T_CURRENCY_TYPE"
EXPORT:    291 rows from table "DMCODE  "."T_CUSTOMER_INFO"
EXPORT:      2 rows from table "DMCODE  "."T_CUSTOMER_TYPE"
EXPORT:      2 rows from table "DMCODE  "."T_CUSTOMER_TYPE_BAK"
EXPORT:      8 rows from table "DMCODE  "."T_DATA_MONTH_INFO"
EXPORT:      9 rows from table "DMCODE  "."T_DEBT_TYPE"
EXPORT:     42 rows from table "DMCODE  "."T_DEPB_CATEGORY"
EXPORT:     42 rows from table "DMCODE  "."T_DEPB_CATEGORY_TRANS"
EXPORT:     12 rows from table "DMCODE  "."T_DEPB_PERIOD_TYPE"
EXPORT:      8 rows from table "DMCODE  "."T_DEPB_PERIOD_TYPE_BAK"
EXPORT:      3 rows from table "DMCODE  "."T_DEPOSITOR_CATE"
EXPORT:     15 rows from table "DMCODE  "."T_DEPT_TYPE"
EXPORT:     11 rows from table "DMCODE  "."T_DEP_PERIOD_TYPE"
EXPORT:      6 rows from table "DMCODE  "."T_DIME_LIST_INFO"
EXPORT:     16 rows from table "DMCODE  "."T_DIME_TABLE_CONFIG"
EXPORT:     30 rows from table "DMCODE  "."T_DIM_LOAN_RATE_FILE_MONITOR"
EXPORT:     21 rows from table "DMCODE  "."T_DIM_LOAN_RATE_FILE_MONITOR_SQL"
EXPORT:      0 rows from table "DMCODE  "."T_DIM_PERIOD_RATE_FILE_MONITOR"
EXPORT:      3 rows from table "DMCODE  "."T_DISCOUNT_PERIOD_TYPE"
EXPORT:    114 rows from table "DMCODE  "."T_DISTRICT_CODE_DIMNSN"
EXPORT:      1 rows from table "DMCODE  "."T_DMCODE_BASICCONFIG_INIT"
EXPORT:    100 rows from table "DMCODE  "."T_DMCODE_BASICCONFIG_PARAM"
EXPORT:      3 rows from table "DMCODE  "."T_DMCODE_BASICCONFIG_SELINPUT"
EXPORT:      5 rows from table "DMCODE  "."T_DMCODE_BASICCONFIG_TABLE"
EXPORT:      5 rows from table "DMCODE  "."T_DOWNPAYMENT_PERCENTAGE"
EXPORT:      8 rows from table "DMCODE  "."T_ENTERPRISE_SIZE"
EXPORT:     11 rows from table "DMCODE  "."T_ENTE_QUAL_TYPE"
EXPORT:     13 rows from table "DMCODE  "."T_ENTRUSTED_LOAN"
EXPORT:     33 rows from table "DMCODE  "."T_ESTATE_LOANS"
EXPORT:     23 rows from table "DMCODE  "."T_FACTORING_BIZ_TYPE"
EXPORT:      7 rows from table "DMCODE  "."T_FINANCE_TYPE"
EXPORT:      7 rows from table "DMCODE  "."T_FINICING_TYPE"
EXPORT:     66 rows from table "DMCODE  "."T_FIN_YIELD_TYPE"
EXPORT:   2965 rows from table "DMCODE  "."T_FISCAL_DAY_DIMNSN"
EXPORT:   2259 rows from table "DMCODE  "."T_FISCAL_MTH_DIMNSN"
EXPORT:     18 rows from table "DMCODE  "."T_FLOAT_MONI"
EXPORT:      9 rows from table "DMCODE  "."T_FLOAT_TYPE"
EXPORT:      7 rows from table "DMCODE  "."T_FMLY_INCOME_RANGE"
EXPORT:      7 rows from table "DMCODE  "."T_FOREST_LOAN"
EXPORT:      7 rows from table "DMCODE  "."T_FOREST_LOAN_INSURE_TYPE"
EXPORT:      3 rows from table "DMCODE  "."T_FOREST_LOAN_INVEST"
EXPORT:      3 rows from table "DMCODE  "."T_FOREST_LOAN_USE"
EXPORT:      3 rows from table "DMCODE  "."T_FOREST_SRC_MTG_TYPE"
EXPORT:     10 rows from table "DMCODE  "."T_FORE_CURR_DEP_LOAN_PERIOD"
EXPORT:      3 rows from table "DMCODE  "."T_FORE_CURR_DEP_LOAN_TYPE"
EXPORT:      5 rows from table "DMCODE  "."T_FUND_LOAN_DIS_RATE"
EXPORT:     12 rows from table "DMCODE  "."T_FUTR_CASH_FLOW_TYPE"
EXPORT:     38 rows from table "DMCODE  "."T_GOLD_BIZ_TYPE"
EXPORT:      7 rows from table "DMCODE  "."T_GOODS_TYPE"
EXPORT:      9 rows from table "DMCODE  "."T_GOODS_TYPE_2"
EXPORT:   1351 rows from table "DMCODE  "."T_GUOK_RCPT_DSB"
EXPORT:      3 rows from table "DMCODE  "."T_HOUSE_LOAN_NUM_TYPE"
EXPORT:      6 rows from table "DMCODE  "."T_HOUSE_UNITPRICE_RANGE"
EXPORT:      4 rows from table "DMCODE  "."T_HUKOU_TYPE"
EXPORT:     41 rows from table "DMCODE  "."T_IB_PAY"
EXPORT:     10 rows from table "DMCODE  "."T_IB_PAY_TAL"
EXPORT:      2 rows from table "DMCODE  "."T_IMP_EXP_SUM"
EXPORT:      8 rows from table "DMCODE  "."T_INDUSTRY_TYPE"
EXPORT:      6 rows from table "DMCODE  "."T_INS_HOUSE_TYPE"
EXPORT:      6 rows from table "DMCODE  "."T_INTEREST_RATE_RANGE"
EXPORT:      2 rows from table "DMCODE  "."T_INTEREST_RATE_TYPE"
EXPORT:     29 rows from table "DMCODE  "."T_INTER_BANK_BORROW_PERIOD_TYPE"
EXPORT:      7 rows from table "DMCODE  "."T_INTER_BANK_DEP_PERIOD_TYPE"
EXPORT:     34 rows from table "DMCODE  "."T_INTR_RATE_INTERVAL_TYPE"
EXPORT:     18 rows from table "DMCODE  "."T_INVESTOR_FINICL_TYPE"
EXPORT:     18 rows from table "DMCODE  "."T_INVESTOR_FINICL_TYPE_TRANS"
EXPORT:     27 rows from table "DMCODE  "."T_KPI_CODE"
EXPORT:    601 rows from table "DMCODE  "."T_KPI_NAME_MANAGE"
EXPORT:     21 rows from table "DMCODE  "."T_LEDGER_BIZ_TYPE"
EXPORT:      2 rows from table "DMCODE  "."T_LENDING_TYPES"
EXPORT:      8 rows from table "DMCODE  "."T_LOAN_DEPT"
EXPORT:      6 rows from table "DMCODE  "."T_LOAN_ENTPR_SIZE"
EXPORT:      6 rows from table "DMCODE  "."T_LOAN_FUND_TYPE_BY_CLASS"
EXPORT:      3 rows from table "DMCODE  "."T_LOAN_FUND_TYPE_BY_USE"
EXPORT:     10 rows from table "DMCODE  "."T_LOAN_INSUR_TYPE"
EXPORT:     10 rows from table "DMCODE  "."T_LOAN_INSUR_TYPE_TRANS"
EXPORT:      2 rows from table "DMCODE  "."T_LOAN_INTERE_TYPE"
EXPORT:      5 rows from table "DMCODE  "."T_LOAN_OVERDUE_TYPE"
EXPORT:     11 rows from table "DMCODE  "."T_LOAN_PERIOD_TYPE"
EXPORT:     42 rows from table "DMCODE  "."T_LOAN_PRO_TYPE"
EXPORT:     42 rows from table "DMCODE  "."T_LOAN_PRO_TYPE_TRANS"
EXPORT:      5 rows from table "DMCODE  "."T_LOAN_QUALITY"
EXPORT:      2 rows from table "DMCODE  "."T_LOAN_RELEASE_RECLAMATION"
EXPORT:      6 rows from table "DMCODE  "."T_LOAN_STATUS"
EXPORT:      4 rows from table "DMCODE  "."T_LOAN_TYPE"
EXPORT:      9 rows from table "DMCODE  "."T_MICR_LOAN_TYPE"
EXPORT:      6 rows from table "DMCODE  "."T_MONETARY_FINANCIAL"
EXPORT:      3 rows from table "DMCODE  "."T_MON_NUM_TYPE"
EXPORT:      5 rows from table "DMCODE  "."T_MTHPAY_INCOME_RATIO"
EXPORT:     60 rows from table "DMCODE  "."T_NATION_TYPE"
EXPORT:   1487 rows from table "DMCODE  "."T_NAT_ECON"
EXPORT:   1429 rows from table "DMCODE  "."T_NAT_ECON_BAK"
EXPORT:   1428 rows from table "DMCODE  "."T_NAT_ECON_INDUS"
EXPORT:      5 rows from table "DMCODE  "."T_NAT_TRADE"
EXPORT:   1273 rows from table "DMCODE  "."T_ORG_AREA_RELATION"
EXPORT:   1393 rows from table "DMCODE  "."T_ORG_BIZ_LVL"
EXPORT:   1393 rows from table "DMCODE  "."T_ORG_BIZ_LVL_OLD"
EXPORT:     25 rows from table "DMCODE  "."T_ORG_CAT"
EXPORT:      9 rows from table "DMCODE  "."T_ORG_DISCOUNT_TYPE"
EXPORT:    156 rows from table "DMCODE  "."T_ORG_GRID"
EXPORT:     52 rows from table "DMCODE  "."T_ORG_GRID_BACK"
EXPORT:  32442 rows from table "DMCODE  "."T_ORG_INIT_CODE"
EXPORT:  26276 rows from table "DMCODE  "."T_ORG_INIT_CODE_BACKUP"
EXPORT:      8 rows from table "DMCODE  "."T_ORG_LOANS_INVEST"
EXPORT:   2059 rows from table "DMCODE  "."T_ORG_LVL"
EXPORT:      2 rows from table "DMCODE  "."T_ORG_NATURE_DIMNSN"
EXPORT:     13 rows from table "DMCODE  "."T_ORG_RECEIPT_TYPE"
EXPORT:    590 rows from table "DMCODE  "."T_ORG_SUB_CAT"
EXPORT:  30879 rows from table "DMCODE  "."T_ORG_TREE"
EXPORT:  12182 rows from table "DMCODE  "."T_ORG_TREE_07202015094821672"
EXPORT:   4603 rows from table "DMCODE  "."T_ORG_TREE_2"
EXPORT:  15248 rows from table "DMCODE  "."T_ORG_TREE_BACKUP"
EXPORT:  15515 rows from table "DMCODE  "."T_ORG_TREE_BAK"
EXPORT:  15515 rows from table "DMCODE  "."T_ORG_TREE_DETAIL"
EXPORT:  15515 rows from table "DMCODE  "."T_ORG_TREE_DETAIL_PROC"
EXPORT:  15364 rows from table "DMCODE  "."T_ORG_TREE_TMP"
EXPORT:     79 rows from table "DMCODE  "."T_ORG_TYPE"
EXPORT:      3 rows from table "DMCODE  "."T_ORG_TYPE_CODE"
EXPORT:      6 rows from table "DMCODE  "."T_OVERSEAS_GOLD_BIZ"
EXPORT:      2 rows from table "DMCODE  "."T_PAY_ACCOUNT_NATURE"
EXPORT:      2 rows from table "DMCODE  "."T_PAY_ACCOUNT_STATUS"
EXPORT:      6 rows from table "DMCODE  "."T_PAY_ACCOUNT_TYPE"
EXPORT:      2 rows from table "DMCODE  "."T_PAY_BUS_TYPE"
EXPORT:      3 rows from table "DMCODE  "."T_PAY_CARD_TRADE_TYPE"
EXPORT:      4 rows from table "DMCODE  "."T_PAY_CARD_TYPE"
EXPORT:      2 rows from table "DMCODE  "."T_PAY_EXPAND_TYPE"
EXPORT:      3 rows from table "DMCODE  "."T_PAY_MERCHANT_STATUS"
EXPORT:      3 rows from table "DMCODE  "."T_PAY_RADE_DIRECTION"
EXPORT:      3 rows from table "DMCODE  "."T_PAY_TRADE_STATUS"
EXPORT:      8 rows from table "DMCODE  "."T_PAY_TYPE_CODE"
EXPORT:      3 rows from table "DMCODE  "."T_PAY_TYSH_TYPE"
EXPORT:      5 rows from table "DMCODE  "."T_PAY_WL_TRADE_TYPE"
EXPORT:     11 rows from table "DMCODE  "."T_PAY_YF_TRADE_TYPE"
EXPORT:      5 rows from table "DMCODE  "."T_PAY_YHZH_TRADE_TYPE"
EXPORT:      6 rows from table "DMCODE  "."T_PERSON_HOUSE_LOAN_PERIOD_TYPE"
EXPORT:     20 rows from table "DMCODE  "."T_PERS_CONS_TYPE"
EXPORT:      2 rows from table "DMCODE  "."T_POS_TYPE_CODE"
EXPORT:      2 rows from table "DMCODE  "."T_PRIVATE_LENDING_NATURE"
EXPORT:      3 rows from table "DMCODE  "."T_PRIVATE_LENDING_PERIOD_TYPE"
EXPORT:      6 rows from table "DMCODE  "."T_PRIVATE_LENDING_RATE_INTERVAL_TYPE"
EXPORT:     24 rows from table "DMCODE  "."T_PROFIT_LOSS"
EXPORT:      3 rows from table "DMCODE  "."T_PROJ_LOAN_TYPE"
EXPORT:     33 rows from table "DMCODE  "."T_PROVINCE_NAME"
EXPORT:     13 rows from table "DMCODE  "."T_RCPT_ORG_TYPE"
EXPORT:   3509 rows from table "DMCODE  "."T_REGION_CODE"
EXPORT:     38 rows from table "DMCODE  "."T_REPORT_CURRENT_MTH"
EXPORT:      4 rows from table "DMCODE  "."T_RISK_FOUR_TYPE"
EXPORT:      5 rows from table "DMCODE  "."T_RISK_TYPE"
EXPORT:      4 rows from table "DMCODE  "."T_RMB_DEP_CLASS"
EXPORT:      4 rows from table "DMCODE  "."T_RMB_DISCOUNT_TYPE"
EXPORT:     19 rows from table "DMCODE  "."T_RMB_NIM"
EXPORT:    718 rows from table "DMCODE  "."T_SHEET_DIMNSN"
EXPORT:    658 rows from table "DMCODE  "."T_SHEET_DIMNSN_BAK0820"
EXPORT:     44 rows from table "DMCODE  "."T_SMALL_RELOAN_MONITOR"
EXPORT:     12 rows from table "DMCODE  "."T_SORT_DIMNSN"
EXPORT:   7073 rows from table "DMCODE  "."T_SRC_DIMNSN_MAPPING"
EXPORT:   6177 rows from table "DMCODE  "."T_SRC_DIMNSN_MAPPING_BAK"
EXPORT:   4645 rows from table "DMCODE  "."T_SRC_DIMNSN_MAPPING_TEST"
EXPORT:     32 rows from table "DMCODE  "."T_STABLE_PARA"
EXPORT:      7 rows from table "DMCODE  "."T_STARS_TYPE"
EXPORT:     45 rows from table "DMCODE  "."T_STATUS_REGI"
EXPORT:   1252 rows from table "DMCODE  "."T_STAT_TJNJ_INFO"
EXPORT:      5 rows from table "DMCODE  "."T_STU_LOAN"
EXPORT:     12 rows from table "DMCODE  "."T_STU_LOAN_CHECK"
EXPORT:      8 rows from table "DMCODE  "."T_STU_LOAN_TYPE"
EXPORT:    205 rows from table "DMCODE  "."T_TARGET"
EXPORT:      6 rows from table "DMCODE  "."T_TRADE_DISCOUNT"

Disconnecting from database ... successful!

End time:  Tue Jan 19 02:24:40 2016
